Time,Price,Volume
7/7/2014 12:00:00 AM,0.000223133877446067,112643.630636429
7/8/2014 12:00:00 AM,0.000259770900405961,258465.780732252
7/9/2014 12:00:00 AM,0.000280425766457842,582491.048408795
7/10/2014 12:00:00 AM,0.000266505962510793,307369.696952164
7/11/2014 12:00:00 AM,0.000269552433454958,161189.67842
7/12/2014 12:00:00 AM,0.000271961402864351,100272.056481996
7/13/2014 12:00:00 AM,0.000266905856767977,119564.091416928
7/14/2014 12:00:00 AM,0.000254811128371126,131658.514610349
7/15/2014 12:00:00 AM,0.000250034179501197,137313.947541193
7/16/2014 12:00:00 AM,0.000233971563271185,187919.632736603
7/17/2014 12:00:00 AM,0.000257316392957562,174218.504110626
7/18/2014 12:00:00 AM,0.000245011167652218,148123.380983078
7/19/2014 12:00:00 AM,0.000238611684996475,84045.5539191217
7/20/2014 12:00:00 AM,0.000236362049585786,104139.769967261
7/21/2014 12:00:00 AM,0.000231874436919247,70796.743534694
7/22/2014 12:00:00 AM,0.000216524634717831,216786.447026277
7/23/2014 12:00:00 AM,0.000222130982311216,112857.890734403
7/24/2014 12:00:00 AM,0.000212213055059539,103790.670218021
7/25/2014 12:00:00 AM,0.000211955679351958,72785.1533323856
7/26/2014 12:00:00 AM,0.000203934187361042,62372.9926700664
7/27/2014 12:00:00 AM,0.000217259934787667,117616.923302602
7/28/2014 12:00:00 AM,0.000203583600754638,124108.530629572
7/29/2014 12:00:00 AM,0.000209351900753758,73476.1850371056
7/30/2014 12:00:00 AM,0.000195875501439694,81071.4222753296
7/31/2014 12:00:00 AM,0.000206899136844536,73056.8126415982
8/1/2014 12:00:00 AM,0.000209305753650377,85695.6704245074
8/2/2014 12:00:00 AM,0.000206283808465705,49681.3687382322
8/3/2014 12:00:00 AM,0.000200385901433466,73882.2265208859
8/4/2014 12:00:00 AM,0.000200504181776922,118385.73689542
8/5/2014 12:00:00 AM,0.000186253000450689,135289.855714861
8/6/2014 12:00:00 AM,0.000179215654996193,120635.700113053
8/7/2014 12:00:00 AM,0.000178500283324491,116049.930538811
8/8/2014 12:00:00 AM,0.000166853066287193,80292.7155024296
8/9/2014 12:00:00 AM,0.000166424571047293,56476.7911023244
8/10/2014 12:00:00 AM,0.000149446967939845,72934.2104419949
8/11/2014 12:00:00 AM,0.000141628425374298,92772.9404663146
8/12/2014 12:00:00 AM,0.000147543273085,99766.1079399274
8/13/2014 12:00:00 AM,0.000143419656577475,90521.044905085
8/14/2014 12:00:00 AM,0.000145294681357231,98873.9130922503
8/15/2014 12:00:00 AM,0.000118507998130381,227240.567705484
8/16/2014 12:00:00 AM,0.000134868149423398,101155.149290287
8/17/2014 12:00:00 AM,0.000124635242134513,70795.2412744708
8/18/2014 12:00:00 AM,0.000106113132053001,107259.420409568
8/19/2014 12:00:00 AM,0.000115274806198851,78619.8971992651
8/20/2014 12:00:00 AM,0.000130279985874608,111784.257778647
8/21/2014 12:00:00 AM,0.000130158306318375,89494.6847884411
8/22/2014 12:00:00 AM,0.00012445880068896,72388.3824713165
8/23/2014 12:00:00 AM,0.00011902453233204,46313.5893291093
8/24/2014 12:00:00 AM,0.000122776567157568,34617.841645551
8/25/2014 12:00:00 AM,0.000112081897076332,195794.055537566
8/26/2014 12:00:00 AM,0.000149680807375032,385095.996195448
8/27/2014 12:00:00 AM,0.000138058513725243,98007.8982119756
8/28/2014 12:00:00 AM,0.000132495047329914,63552.5298782092
8/29/2014 12:00:00 AM,0.00012831702645422,42301.4236636667
8/30/2014 12:00:00 AM,0.000133958209421528,42216.2125340317
8/31/2014 12:00:00 AM,0.000132745964028363,93316.4675551163
9/1/2014 12:00:00 AM,0.000129739564638771,68161.3134152888
9/2/2014 12:00:00 AM,0.000129089048146932,50690.9133669997
9/3/2014 12:00:00 AM,0.000137291007135476,82364.1220721795
9/4/2014 12:00:00 AM,0.000158442921134869,209731.690401146
9/5/2014 12:00:00 AM,0.000165270361349521,137981.026740996
9/6/2014 12:00:00 AM,0.000207438757145079,556642.016868653
9/7/2014 12:00:00 AM,0.000187254285574494,240019.188821053
9/8/2014 12:00:00 AM,0.000177252154082224,237281.577436682
9/9/2014 12:00:00 AM,0.000194972710180816,196829.630025841
9/10/2014 12:00:00 AM,0.000186768299951125,170194.523654732
9/11/2014 12:00:00 AM,0.00020779393278803,255972.25830869
9/12/2014 12:00:00 AM,0.000206986390524309,180162.1537905
9/13/2014 12:00:00 AM,0.000261836137877033,632202.913310222
9/14/2014 12:00:00 AM,0.000333056044268818,3035528.39512532
9/15/2014 12:00:00 AM,0.000325672628241317,1501571.51756824
9/16/2014 12:00:00 AM,0.000285197328782135,510189.902591256
9/17/2014 12:00:00 AM,0.000267652112506344,1383904.96632817
9/18/2014 12:00:00 AM,0.000296156524135152,2104863.70725351
9/19/2014 12:00:00 AM,0.000275861855286446,804693.461820887
9/20/2014 12:00:00 AM,0.0002925220502019,918721.089186807
9/21/2014 12:00:00 AM,0.00028549076117048,458001.753081436
9/22/2014 12:00:00 AM,0.000294324093896294,555971.916027456
9/23/2014 12:00:00 AM,0.000311891816346313,663237.553653816
9/24/2014 12:00:00 AM,0.000347973368819327,1194387.03905979
9/25/2014 12:00:00 AM,0.000370539388104888,2270586.70495377
9/26/2014 12:00:00 AM,0.000447954175131513,4611696.32149012
9/27/2014 12:00:00 AM,0.000376303669680726,2787548.08113017
9/28/2014 12:00:00 AM,0.000392647646222998,2010790.04243469
9/29/2014 12:00:00 AM,0.000392815161927702,1080299.47840608
9/30/2014 12:00:00 AM,0.000399048071040857,669288.97798784
10/1/2014 12:00:00 AM,0.000365063210325199,906327.896947674
10/2/2014 12:00:00 AM,0.000330680386170446,1224266.3450076
10/3/2014 12:00:00 AM,0.000320701931244586,1042460.68781479
10/4/2014 12:00:00 AM,0.000293975379927807,647947.141424553
10/5/2014 12:00:00 AM,0.000274464392284113,1049356.08461416
10/6/2014 12:00:00 AM,0.000293410896068762,1216829.14589187
10/7/2014 12:00:00 AM,0.000293397379158669,951136.924134504
10/8/2014 12:00:00 AM,0.000289674631147995,651249.589048508
10/9/2014 12:00:00 AM,0.000290016640779543,631198.538419639
10/10/2014 12:00:00 AM,0.000268505465460274,435585.693004634
10/11/2014 12:00:00 AM,0.000278140587574893,379348.194318634
10/12/2014 12:00:00 AM,0.00029125380112149,307482.78986318
10/13/2014 12:00:00 AM,0.000283999425409986,340161.060151825
10/14/2014 12:00:00 AM,0.00028297959459738,463617.58970315
10/15/2014 12:00:00 AM,0.000271552939052165,651654.565283088
10/16/2014 12:00:00 AM,0.000256204497162909,304619.102176846
10/17/2014 12:00:00 AM,0.000248851189921264,276701.680565551
10/18/2014 12:00:00 AM,0.000255008163236693,271633.110153747
10/19/2014 12:00:00 AM,0.00023806172412696,228354.6048593
10/20/2014 12:00:00 AM,0.000229595285428342,512986.277472303
10/21/2014 12:00:00 AM,0.000228078214991806,230042.351279765
10/22/2014 12:00:00 AM,0.000253452859297759,961068.447139297
10/23/2014 12:00:00 AM,0.000245475642670755,627352.875443285
10/24/2014 12:00:00 AM,0.000250126009230454,347354.595298722
10/25/2014 12:00:00 AM,0.000248196368333715,175690.494669583
10/26/2014 12:00:00 AM,0.000247336403507083,290995.977438727
10/27/2014 12:00:00 AM,0.00024770283839782,211222.942320689
10/28/2014 12:00:00 AM,0.000253974876745193,303339.694483895
10/29/2014 12:00:00 AM,0.000238887163862597,247977.321221709
10/30/2014 12:00:00 AM,0.000239215727064101,255217.709522056
10/31/2014 12:00:00 AM,0.000235368290882486,148522.950482359
11/1/2014 12:00:00 AM,0.000222329258470588,127644.855007358
11/2/2014 12:00:00 AM,0.000218745414882978,140509.074304548
11/3/2014 12:00:00 AM,0.000213786521849564,233688.272803398
11/4/2014 12:00:00 AM,0.00020922885379551,239525.218132189
11/5/2014 12:00:00 AM,0.000217979638715882,378540.071134
11/6/2014 12:00:00 AM,0.000226245571860836,412287.486313294
11/7/2014 12:00:00 AM,0.000216934983262783,203420.614060984
11/8/2014 12:00:00 AM,0.000217483075634737,212327.887442668
11/9/2014 12:00:00 AM,0.000220831814396343,191859.618440611
11/10/2014 12:00:00 AM,0.00021784718437581,317008.766895287
11/11/2014 12:00:00 AM,0.000220366443867106,231815.52084942
11/12/2014 12:00:00 AM,0.000235892775785299,496543.390052247
11/13/2014 12:00:00 AM,0.000245294688317162,894714.364237674
11/14/2014 12:00:00 AM,0.000237617640777461,362097.952204864
11/15/2014 12:00:00 AM,0.000225260735642196,246302.701759093
11/16/2014 12:00:00 AM,0.000223879412555578,199220.953062935
11/17/2014 12:00:00 AM,0.000221878577136617,221796.322476705
11/18/2014 12:00:00 AM,0.000212433295775612,256395.652653685
11/19/2014 12:00:00 AM,0.000213596305751906,220388.725463925
